57 48836 443 5152 7914 5 8 1670789499.183553 0.503865
58 48880 443 2751 803 2 2 1670789499.698969 0.071773
59 48908 443 0 569 0 1 1670789499.841875 0.031509
60 48916 443 0 0 0 0 1670789499.985891 0.000000
61 48916 443 2878 3448 3 4 1670789499.985891 0.114448
62 443 44432 0 0 0 0 1670789500.205125 0.000000
63 48916 443 4619 6093 5 6 1670789499.985891 0.286968
64 48916 443 9733 11112 9 11 1670789499.985891 0.394801
65 48974 443 0 0 0 0 1670789500.539866 0.000000
66 48974 443 2751 569 2 1 1670789500.539866 0.036382
