2223 550 0 0 11689 2604 7 8 120 698 5686 35865 108 540 2111 7045
2222 549 0 0 11690 2604 7 8 120 698 5686 35865 108 540 2111 7045
2219 547 0 0 11690 2604 7 8 120 698 5686 35865 108 540 2111 7045
2217 545 0 0 11690 2605 7 8 120 698 5686 35865 108 540 2111 7045
1808 466 0 0 9971 2329 7 9 120 600 3190 29309 108 378 1350 6743
1736 461 0 0 9964 2329 7 9 60 360 1446 29309 67 324 1350 6743
1783 466 0 0 9991 2330 7 9 60 360 1533 29309 67 329 1621 6743
1784 466 0 0 9991 2330 7 9 60 360 1533 29309 108 329 1621 6743
1948 505 0 0 10076 2358 7 9 120 600 9648 29309 108 540 2225 6743
9036 685 0 0 46851 2599 6 7 120 1278 29504 139933 108 1142 4520 7480
9029 678 0 0 46852 2600 6 7 120 1227 29504 139933 108 1142 4520 7480
9625 881 0 0 47349 3467 6 6 120 3987 42598 139933 108 1339 5556 9109
9195 800 0 0 46967 3327 6 7 120 2054 36013 139933 108 1142 5017 7480
9199 803 0 0 46967 3329 6 7 120 2396 36013 139933 108 1226 5017 7480
9195 800 0 0 46967 3330 6 7 120 2396 36013 139933 108 1226 5017 7480
9144 734 0 0 46973 3278 6 7 60 1543 36013 139933 54 594 4425 7416
9027 708 0 0 46974 3258 6 7 60 628 36013 139933 54 594 4258 7416
8248 607 0 0 46755 3194 6 8 60 366 13952 139933 54 388 2499 7257
8248 607 0 0 46755 3194 6 8 60 366 13952 139933 54 394 2499 7257
10069 877 0 0 48870 3624 6 6 60 958 40919 181438 54 707 5575 12466
10275 976 0 0 48858 3734 6 5 120 4388 40919 181438 108 1254 6570 14181
10278 979 0 0 48857 3735 6 5 120 4388 40919 181438 108 1598 6570 14181
10277 978 0 0 48858 3735 6 5 60 4388 40919 181438 54 1598 6570 14181
10279 980 0 0 48857 3734 6 5 120 4388 40919 181438 108 1598 6570 14181
10282 983 0 0 48857 3734 6 5 120 4388 40919 181438 108 1598 6570 14181
10283 985 0 0 48856 3734 6 5 120 4388 40919 181438 108 1598 6570 14181
10335 1016 0 0 48851 3745 6 5 120 4610 40919 181438 108 2035 6570 14181
10335 1016 0 0 48851 3745 6 5 120 4610 40919 181438 108 2035 6570 14181
10338 1019 0 0 48850 3745 6 5 120 4610 40919 181438 108 2035 6570 14181
10341 1021 0 0 48849 3744 6 5 120 4610 40919 181438 108 2035 6570 14181
10337 1018 0 0 48850 3745 6 5 120 4610 40919 181438 108 2035 6570 14181
10337 1019 0 0 48850 3745 6 5 120 4610 40919 181438 108 2035 6570 14181
10342 1023 0 0 48849 3744 6 5 120 4610 40919 181438 108 2035 6570 14181
10346 1027 0 0 48848 3743 6 5 158 4610 40919 181438 162 2035 6570 14181
10343 1021 0 0 48849 3744 6 5 120 4610 40919 181438 108 2035 6570 14181
10342 1020 0 0 48849 3744 6 5 120 4610 40919 181438 108 2035 6570 14181
10292 1013 0 0 48852 3745 6 5 120 4388 40919 181438 108 2035 6570 14181
10293 1014 0 0 48852 3744 6 5 120 4388 40919 181438 108 2035 6570 14181
10682 1181 0 0 49004 4746 6 6 120 4610 43019 181438 108 2403 7199 14606
3582 995 0 0 18202 4638 7 7 120 828 11686 42868 108 707 4394 14606
3581 994 0 0 18202 4638 7 7 120 828 11686 42868 108 707 4394 14606
2708 675 0 0 16035 3620 8 10 60 432 8381 39518 54 486 2505 7839
2703 674 0 0 16036 3620 8 10 60 426 8381 39518 54 437 2505 7839
2696 667 0 0 16036 3619 8 10 60 426 8381 39518 54 432 2505 7839
2697 668 0 0 16036 3619 8 10 75 426 8381 39518 67 432 2505 7839
2698 668 0 0 16036 3619 8 10 120 426 8381 39518 108 432 2505 7839
3089 778 0 0 16477 3842 8 9 120 540 11686 40868 108 486 3862 12466
3090 779 0 0 16477 3842 8 9 120 540 11686 40868 108 486 3862 12466
3089 778 0 0 16477 3842 8 9 120 489 11686 40868 108 437 3862 12466
1379 530 0 0 6863 3438 6 12 60 360 2207 29693 67 324 1678 4377
1177 437 0 0 6680 3304 6 13 60 316 673 29693 54 275 868 3513
1237 461 0 0 6701 3315 6 13 60 360 963 29693 67 324 1167 3868
1368 523 0 0 6796 3348 6 12 120 420 3982 29693 108 383 2253 5103
1428 533 0 0 6867 3351 6 12 120 426 4089 29693 108 491 2373 5103
1424 529 0 0 6868 3351 6 12 60 426 4089 29693 54 491 2373 5103
1696 622 0 0 7480 3495 5 11 60 489 9121 32634 54 561 2606 5280
1661 594 0 0 7460 3479 5 11 60 480 5094 32634 54 540 2399 5280
1661 594 0 0 7460 3479 5 11 60 480 5094 32634 54 540 2399 5280
1970 644 0 0 8814 3531 5 11 60 546 9668 33226 54 760 2606 6197
1967 642 0 0 8815 3532 5 11 60 546 9668 33226 54 760 2606 6197
1971 649 0 0 8814 3531 5 11 60 600 9668 33226 54 807 2606 6197
1974 655 0 0 8813 3532 5 11 60 602 9668 33226 54 886 2606 6197
1971 652 0 0 8814 3532 5 11 60 602 9668 33226 54 886 2606 6197
1970 659 0 0 8814 3532 5 11 60 602 9668 33226 54 935 2606 6197
2963 843 0 0 12388 3942 5 8 60 966 19990 43463 67 1198 3869 12147
2965 845 0 0 12388 3942 5 8 75 966 19990 43463 108 1198 3869 12147
2967 847 0 0 12387 3941 5 8 120 966 19990 43463 108 1198 3869 12147
2967 847 0 0 12387 3941 5 8 75 966 19990 43463 108 1198 3869 12147
2416 643 0 0 11449 2609 6 6 60 602 11076 34036 108 935 2923 9603
2417 645 0 0 11449 2608 6 6 120 602 11076 34036 108 935 2923 9603
2417 645 0 0 11449 2608 6 6 120 602 11076 34036 108 935 2923 9603
2417 644 0 0 11449 2608 6 6 60 602 11076 34036 108 935 2923 9603
2413 640 0 0 11450 2609 6 6 60 505 11076 34036 54 935 2923 9603
2418 650 0 0 11449 2611 6 6 60 630 11076 34036 54 1004 2923 9603
2459 656 0 0 11463 2611 6 6 60 696 12631 34036 54 1160 2923 9603
